ENTITY_BKEY,ENTITY_NAME,ENTITY_COUNTRY,LEGAL_FORM,ENTITY_STATUS,REGISTRATION_AUTHORITY,ENTITY_CURRENCY,TRN,TIN,TAX_RESIDENCE,TIN_REGISTRATION_DATE,TIN_2,TAX_RESIDENCE_2,TIN_REGISTRATION_DATE_2,TIN_3,TAX_RESIDENCE_3,TIN_REGISTRATION_DATE_3,SERVICE_OFFICE,SCOPE_ADMIN_SERVICES,FORMATION_DATE,VAT_GST_CODE,VAT_GST_COUNTRY,VAT_GST_CODE_2,VAT_GST_COUNTRY_2,VAT_GST_CODE_3,VAT_GST_COUNTRY_3,ACCOUNTING_SYSTEM,_MODIFIED
10033622,GLOBAL CITY PROPERTIES LIMITED,VG,Limited by Shares,Active,Registry of Corporate Affairs,USD,595997,,,,,,,,,,VISTRA,Fund Administration,10/05/2004,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10033444,BPEA Private Equity GP IV Limited,KY,Exempted Company,Active,Cayman Islands General Registry,USD,192622,,,,,,,,,,VISTRA,Fund Administration,03/08/2007,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10033443,"BPEA Private Equity GP IV, L.P.",KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,20907,,,,,,,,,,VISTRA,Fund Administration,03/08/2007,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10037102,"The Baring Asia Private Equity Fund IV, L.P.",KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,20908,,,,,,,,,,VISTRA,Fund Administration,03/08/2007,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11808219,BPEA IV Holding (4) B.V.,NL,Besloten Vennootschap,Active,Dutch Chamber of Commerce (Kamer van Koophandel),EUR,34288251,818763632,NL,04/12/2007,,,,,,,VISTRA,Fund Administration,04/12/2007,,,,,,,Millogic,2025-05-06 00:13:51.000 Z
10032986,The Baring Asia Private Equity Fund IV Co-investment L.P.,KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,22792,,,,,,,,,,VISTRA,Fund Administration,07/12/2007,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10033635,Baring Private Equity Asia IV Holding (4) Limited,VG,Limited by Shares,In liquidation,Registry of Corporate Affairs,USD,1449611,,,,,,,,,,VISTRA,Fund Administration,11/12/2007,,,,,,,,2025-05-06 00:13:51.000 Z
10033793,Wealthee (BVI) Limited,VG,Limited by Shares,Active,Registry of Corporate Affairs,USD,1488559,,,,,,,,,,VISTRA,Fund Administration,25/06/2008,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11811640,Management Participation IV B.V.,NL,Besloten Vennootschap,Active,Dutch Chamber of Commerce (Kamer van Koophandel),EUR,34315512,,,,,,,,,,VISTRA,Fund Administration,24/10/2008,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10033669,DELTEC INVESTMENT LIMITED,VG,Limited by Shares,Active,Registry of Corporate Affairs,USD,1570229,,,,,,,,,,VISTRA,Fund Administration,08/02/2010,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10032180,BPEA Private Equity GP V Limited,KY,Exempted Company,Active,Cayman Islands General Registry,USD,244752,,,,,,,,,,VISTRA,Fund Administration,27/08/2010,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10032181,"BPEA Private Equity GP V, L.P.",KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,43027,,,,,,,,,,VISTRA,Fund Administration,27/08/2010,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10032183,"BPEA Private Equity Fund V, L.P.",KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,43028,,,,,,,,,,VISTRA,Fund Administration,27/08/2010,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
11808343,EduCo International Group B.V.,NL,Besloten Vennootschap,Active,Dutch Chamber of Commerce (Kamer van Koophandel),EUR,50933914,823002391,NL,29/09/2010,,,,,,,VISTRA,Fund Administration,29/09/2010,,,,,,,Millogic,2025-05-06 00:13:51.000 Z
10034676,Aegeus Limited,KY,Exempted Company,Active,Cayman Islands General Registry,USD,378675,,,,,,,,,,VISTRA,Fund Administration,16/12/2010,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10032182,BPEA Private Equity Fund V Co-Investment L.P.,KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,46107,,,,,,,,,,VISTRA,Fund Administration,21/01/2011,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10032203,Campus Holdings Limited,VG,Limited by Shares,Active,Registry of Corporate Affairs,USD,1671780,,,,,,,,,,VISTRA,Fund Administration,20/09/2011,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10032100,"Nord Anglia Education, Inc.",KY,Exempted Company,Active,Cayman Islands General Registry,USD,264950,,,,,,,,,,VISTRA,Fund Administration,14/12/2011,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10032187,BPEA V Holding (2) Limited,VG,Limited by Shares,Active,Registry of Corporate Affairs,USD,1685675,,,,,,,,,,VISTRA,Fund Administration,16/12/2011,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10032188,BPEA V Holding (4) Limited,VG,Limited by Shares,Active,Registry of Corporate Affairs,USD,1692195,,,,,,,,,,VISTRA,Fund Administration,18/01/2012,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10032189,BPEA V Holding (5) Limited,VG,Limited by Shares,Active,Registry of Corporate Affairs,USD,1693939,,,,,,,,,,VISTRA,Fund Administration,02/02/2012,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10032190,BPEA V Holding (6) Limited,VG,Limited by Shares,Active,Registry of Corporate Affairs,USD,1697402,,,,,,,,,,VISTRA,Fund Administration,22/02/2012,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10032191,Pachytene Holding III Limited,VG,Limited by Shares,Active,Registry of Corporate Affairs,USD,1702249,,,,,,,,,,VISTRA,Fund Administration,19/03/2012,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10032192,BPEA V Holding (9) Limited,VG,Limited by Shares,Active,Registry of Corporate Affairs,USD,1706722,,,,,,,,,,VISTRA,Fund Administration,13/04/2012,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10033510,BPE Asia Real Estate GP Limited,KY,Exempted Company,Active,Cayman Islands General Registry,USD,268444,,,,,,,,,,VISTRA,Fund Administration,26/04/2012,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10032733,"BPE Asia Real Estate Fund, L.P.",KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,60730,,,,,,,,,,VISTRA,Fund Administration,26/04/2012,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
10033515,"BPE Asia Real Estate GP, L.P.",KY,Exempted Limited Partnership,Active,Cayman Islands General Registry,USD,60731,,,,,,,,,,VISTRA,Fund Administration,26/04/2012,,,,,,,Investran / Fund NetSuite,2025-05-06 00:13:51.000 Z
